i,counter,word
1116, 266, greatly
1117, 266, sharp
1118, 266, bit
1119, 266, fat
1120, 265, individuals
1121, 265, prevent
1122, 265, prove
1123, 265, political
1124, 265, evidently
1125, 265, powers
1126, 265, mill
1127, 264, acts
1128, 264, beside
1129, 263, ohio
1130, 263, worth
1131, 263, owner
1132, 263, servant
1133, 263, term
1134, 262, composer
1135, 262, steps
1136, 262, described
1137, 262, dorothy
1138, 261, lives
1139, 261, threw
1140, 260, situation
1141, 260, absence
1142, 260, forgotten
1143, 260, broad
1144, 260, fee
1145, 260, extraordinary
1146, 260, consider
1147, 259, presently
1148, 259, appears
1149, 259, morrow
1150, 259, shoulder
1151, 259, style
1152, 259, flowers
1153, 258, caused
1154, 258, fallen
1155, 258, physical
1156, 258, regarded
1157, 258, re
1158, 258, bright
1159, 258, vast
1160, 258, laughed
1161, 257, hills
1162, 257, talking
1163, 257, lower
1164, 257, reported
1165, 257, tears
1166, 257, james
1167, 257, ruth
1168, 256, wemmick
1169, 256, equally
1170, 256, moses
1171, 256, indian
1172, 256, lie
1173, 256, efforts
1174, 255, succeeded
1175, 255, machine
1176, 255, possibly
1177, 255, groups
1178, 254, coach
1179, 253, surface
1180, 253, remarked
1181, 253, creature
1182, 253, allowed
1183, 253, mentioned
1184, 253, fancy
1185, 253, unions
1186, 252, heads
1187, 252, guns
1188, 252, square
1189, 252, anyone
1190, 252, terrible
1191, 252, statement
1192, 252, alive
1193, 251, phoebe
1194, 250, shot
1195, 250, dress
1196, 250, break
1197, 250, valley
1198, 250, waiting
1199, 249, spoken
1200, 249, process
1201, 249, higher
1202, 249, pain
1203, 249, created
1204, 249, proved
1205, 249, rapidly
1206, 248, promise
1207, 248, volunteers
1208, 248, forced
1209, 248, relation
1210, 247, box
1211, 247, determined
1212, 247, curious
1213, 247, drawing
1214, 247, guard
1215, 246, justice
1216, 246, distant
1217, 246, larger
1218, 246, worse
1219, 246, slow
1220, 245, dogs
1221, 245, atlanta
1222, 245, spot
1223, 245, failed
1224, 245, sawyer
1225, 245, rebel
1226, 245, admit
1227, 245, modern
1228, 245, fish
1229, 245, wait
1230, 245, published
1231, 244, grand
1232, 244, news
1233, 244, joy
1234, 244, david
1235, 244, advance
1236, 244, capital
1237, 243, fourth
1238, 243, spread
1239, 243, havisham
1240, 243, sky
1241, 242, job
